source1,source2,count
accesswdun.com,ksl.com,927
chron.com,seattlepi.com,926
tucson.com,washingtonpost.com,923
sfgate.com,yahoo.com,918
cbslocal.com,iheart.com,918
accesswdun.com,wfmz.com,916
accesswdun.com,tucson.com,914
wacotrib.com,yahoo.com,913
blagoevgrad24.bg,sport.plovdiv24.bg,912
adelaidenow.com.au,couriermail.com.au,910
chron.com,mysanantonio.com,909
greensboro.com,nzherald.co.nz,909
fredericksburg.com,tucson.com,906
bakersfield.com,greensboro.com,902
msn.com,wfmz.com,901
newsadvance.com,wacotrib.com,899
chieftain.com,fredericksburg.com,899
chieftain.com,wvnews.com,899
chron.com,middletownpress.com,897
nhregister.com,stamfordadvocate.com,896
reuters.com,wnmtradio.com,895
iheart.com,wfmz.com,894
middletownpress.com,thehour.com,893
wfmz.com,wftv.com,892
chron.com,startribune.com,892
actionnewsjax.com,wfmz.com,891
reuters.com,wsau.com,886
foxbaltimore.com,iheart.com,884
accesswdun.com,chieftain.com,881
chron.com,tucson.com,879
sfgate.com,wacotrib.com,878
chieftain.com,tampabay.com,872
newsadvance.com,tucson.com,872
chron.com,wsoctv.com,870
nzherald.co.nz,yahoo.com,867
registercitizen.com,sfgate.com,867
sfgate.com,stamfordadvocate.com,865
chieftain.com,yahoo.com,864
greensboro.com,vancouversun.com,861
nhregister.com,sfgate.com,860
accesswdun.com,wacotrib.com,858
sfgate.com,startribune.com,858
tampabay.com,wfmz.com,856
iheart.com,zocalo.com.mx,852
news.ruse24.bg,sport.plovdiv24.bg,852
nzherald.co.nz,sfgate.com,851
chieftain.com,washingtonpost.com,846
dailymail.co.uk,reuters.com,840
greensboro.com,thedailytimes.com,839
kiro7.com,wsbtv.com,835
alarab.com,wafa.ps,832
nbcnews.com,reuters.com,829
business-standard.com,yahoo.com,829
ksl.com,nzherald.co.nz,825
onenewsnow.com,vancouversun.com,824
chron.com,mynorthwest.com,823
trust.org,yahoo.com,821
fairfieldcitizenonline.com,greenwichtime.com,820
fox23.com,wsbtv.com,820
burgas24.bg,cairoscene.com,816
business-standard.com,msn.com,816
chron.com,newsadvance.com,815
dailymail.co.uk,msn.com,814
chieftain.com,valleymorningstar.com,813
greensboro.com,wsoctv.com,812
middletownpress.com,stamfordadvocate.com,810
chron.com,ksl.com,810
greensboro.com,pantagraph.com,807
ctpost.com,yahoo.com,807
fox13memphis.com,wsbtv.com,807
seattlepi.com,sfgate.com,805
nzherald.co.nz,tucson.com,805
middletownpress.com,newstimes.com,804
newsadvance.com,yahoo.com,804
princegeorgecitizen.com,wfmz.com,803
newsadvance.com,wfmz.com,801
fox30jax.com,wsbtv.com,800
startribune.com,washingtonpost.com,797
wsbtv.com,wsoctv.com,797
fox23.com,fox30jax.com,796
heraldmailmedia.com,wvnews.com,796
actionnewsjax.com,wftv.com,794
fox23.com,wpxi.com,793
wsbtv.com,yahoo.com,793
wpxi.com,wsbtv.com,793
businessinsider.com,reuters.com,793
wsoctv.com,yahoo.com,792
ruse24.bg,sport.plovdiv24.bg,792
fairfieldcitizenonline.com,thehour.com,787
digitaljournal.com,yahoo.com,785
chieftain.com,newsadvance.com,783
wftv.com,wsoctv.com,783
kiro7.com,wsoctv.com,780
fox23.com,kiro7.com,779
wpxi.com,wsoctv.com,777
startribune.com,wacotrib.com,776
actionnewsjax.com,fox30jax.com,775
greensboro.com,oanow.com,774
fox13memphis.com,kiro7.com,772
fox23.com,wsoctv.com,772
actionnewsjax.com,yahoo.com,772
fox13memphis.com,fox23.com,769
dailynewsegypt.com,english.wafa.ps,768
fox23.com,yahoo.com,768
actionnewsjax.com,wsbtv.com,763
kiro7.com,wpxi.com,762
chron.com,fairfieldcitizenonline.com,762
chieftain.com,missoulian.com,761
fredericksburg.com,wacotrib.com,760
actionnewsjax.com,wsoctv.com,759
wftv.com,wsbtv.com,758
fox30jax.com,wsoctv.com,758
fox30jax.com,wftv.com,757
therepublic.com,yahoo.com,757
fox13memphis.com,wsoctv.com,757
wpxi.com,yahoo.com,756
english.wafa.ps,reuters.com,756
actionnewsjax.com,wpxi.com,755
sfgate.com,wsoctv.com,755
middletownpress.com,sfgate.com,755
chron.com,lmtonline.com,752
onenewsnow.com,princegeorgecitizen.com,752
reuters.com,wibqam.com,752
ksl.com,tampabay.com,752
bozemandailychronicle.com,chieftain.com,751
fox13memphis.com,wpxi.com,750
thehour.com,yahoo.com,750
chron.com,seattletimes.com,749
wacotrib.com,wsoctv.com,748
sfgate.com,wfmz.com,747
ctpost.com,fairfieldcitizenonline.com,747
chieftain.com,chron.com,744
fox30jax.com,wpxi.com,744
greenwichtime.com,washingtonpost.com,743
ctpost.com,seattlepi.com,742
actionnewsjax.com,fox23.com,742
sfgate.com,tucson.com,741
kiro7.com,wftv.com,740
middletownpress.com,yahoo.com,740
startribune.com,wfmz.com,739
nzherald.co.nz,startribune.com,739
valleymorningstar.com,wvnews.com,737
wftv.com,wpxi.com,735
greensboro.com,sfgate.com,733
fox13memphis.com,fox30jax.com,732
fox30jax.com,kiro7.com,731
ksl.com,newsadvance.com,730
dailysabah.com,english.wafa.ps,730
actionnewsjax.com,kiro7.com,730
fox30jax.com,yahoo.com,730
princegeorgecitizen.com,yahoo.com,729
greensboro.com,herald-dispatch.com,727
fairfieldcitizenonline.com,stamfordadvocate.com,723
fox13memphis.com,yahoo.com,722
actionnewsjax.com,fox13memphis.com,721
greenwichtime.com,yahoo.com,721
newsadvance.com,washingtonpost.com,720
chron.com,mrt.com,720
greensboro.com,wsbtv.com,720
nhregister.com,yahoo.com,719
seattletimes.com,sfgate.com,717
ctpost.com,wfmz.com,716
fox13memphis.com,wftv.com,715
bradfordera.com,wfmz.com,715
tampabay.com,wacotrib.com,714
oanow.com,wacotrib.com,712
greenwichtime.com,seattlepi.com,712
kiro7.com,yahoo.com,711
fox23.com,wftv.com,711
