source1,source2,count
greenwichtime.com,wfmz.com,655
startribune.com,yahoo.com,651
registercitizen.com,yahoo.com,651
msn.com,washingtonpost.com,651
seattlepi.com,yahoo.com,648
ksl.com,startribune.com,647
indiatimes.com,yahoo.com,647
tampabay.com,washingtonpost.com,645
stamfordadvocate.com,wfmz.com,645
mynorthwest.com,wacotrib.com,644
chron.com,tampabay.com,642
newstimes.com,wacotrib.com,639
nhregister.com,wfmz.com,638
thehour.com,wacotrib.com,637
nytimes.com,reuters.com,636
greensboro.com,thehour.com,634
lmtonline.com,newstimes.com,633
greensboro.com,greenwichtime.com,633
fredericksburg.com,greensboro.com,633
registercitizen.com,wacotrib.com,632
cbslocal.com,wfmz.com,631
chron.com,msn.com,628
channelnewsasia.com,msn.com,626
mynorthwest.com,tucson.com,624
greensboro.com,newstimes.com,622
greensboro.com,startribune.com,620
ctpost.com,nzherald.co.nz,620
foxnews.com,yahoo.com,620
msn.com,sfgate.com,619
fredericksburg.com,yahoo.com,616
beaumontenterprise.com,greenwichtime.com,614
mysanantonio.com,sfgate.com,613
beaumontenterprise.com,newstimes.com,612
chieftain.com,sfgate.com,611
greensboro.com,stamfordadvocate.com,609
ctpost.com,msn.com,607
middletownpress.com,seattlepi.com,606
nhregister.com,wacotrib.com,605
beaumontenterprise.com,ctpost.com,605
msn.com,tampabay.com,604
beaumontenterprise.com,registercitizen.com,603
mynorthwest.com,wfmz.com,602
middletownpress.com,wfmz.com,601
stamfordadvocate.com,washingtonpost.com,601
lmtonline.com,thehour.com,596
ctpost.com,tucson.com,596
greenwichtime.com,nzherald.co.nz,588
greensboro.com,mynorthwest.com,588
fredericksburg.com,nzherald.co.nz,588
newstimes.com,seattlepi.com,587
newstimes.com,wfmz.com,587
seattlepi.com,wacotrib.com,587
nhregister.com,washingtonpost.com,584
greensboro.com,indiatimes.com,584
france24.com,msn.com,582
registercitizen.com,wfmz.com,581
lmtonline.com,sfgate.com,579
stamfordadvocate.com,wacotrib.com,577
registercitizen.com,washingtonpost.com,577
tucson.com,wsoctv.com,575
nhregister.com,nzherald.co.nz,574
greensboro.com,registercitizen.com,574
ctpost.com,ksl.com,574
nzherald.co.nz,seattlepi.com,573
beaumontenterprise.com,nhregister.com,573
chieftain.com,ctpost.com,572
dailymail.co.uk,english.wafa.ps,571
nbcnews.com,yahoo.com,570
middletownpress.com,wacotrib.com,567
msn.com,tucson.com,567
chieftain.com,greenwichtime.com,567
msn.com,newstimes.com,566
ksl.com,wsoctv.com,565
nhregister.com,tucson.com,562
mynorthwest.com,yahoo.com,561
cbslocal.com,yahoo.com,558
msn.com,thehour.com,558
chieftain.com,nhregister.com,558
seattlepi.com,washingtonpost.com,557
middletownpress.com,washingtonpost.com,557
greensboro.com,msn.com,553
greensboro.com,nhregister.com,551
greenwichtime.com,lmtonline.com,551
greensboro.com,seattlepi.com,550
greenwichtime.com,tucson.com,548
ksl.com,msn.com,547
mynorthwest.com,startribune.com,544
chieftain.com,registercitizen.com,544
chieftain.com,msn.com,544
nzherald.co.nz,thehour.com,542
indiatimes.com,reuters.com,538
fredericksburg.com,wfmz.com,537
greensboro.com,middletownpress.com,537
nzherald.co.nz,tampabay.com,536
dailymail.co.uk,iheart.com,535
chieftain.com,seattlepi.com,535
reuters.com,washingtonpost.com,535
dailymail.co.uk,washingtonpost.com,532
fredericksburg.com,tampabay.com,531
nzherald.co.nz,registercitizen.com,528
chieftain.com,stamfordadvocate.com,526
chieftain.com,thehour.com,526
thehour.com,tucson.com,526
greenwichtime.com,ksl.com,526
newstimes.com,nzherald.co.nz,524
nzherald.co.nz,stamfordadvocate.com,524
chieftain.com,startribune.com,524
seattlepi.com,tucson.com,523
startribune.com,wsoctv.com,521
mynorthwest.com,nzherald.co.nz,520
iheart.com,nbcnews.com,517
beaumontenterprise.com,yahoo.com,516
beaumontenterprise.com,mysanantonio.com,514
middletownpress.com,tucson.com,513
tampabay.com,wsoctv.com,512
beaumontenterprise.com,wacotrib.com,509
ksl.com,middletownpress.com,508
middletownpress.com,nzherald.co.nz,507
