mentions_count,tone_avg,tone_std,source_index,person_index
44,-1.023,1.279,3,0
39,-1.446,3.536,0,3
34,-0.293,0.748,5,0
27,-4.783,0.000,1,9
22,-4.041,0.000,1,2
21,-0.962,0.402,5,6
19,-2.409,3.211,2,0
17,4.523,0.511,5,17
16,-0.641,0.000,7,12
16,-3.967,0.000,3,1
15,-1.112,1.625,13,11
14,-1.040,0.073,3,6
14,-2.250,0.000,0,1
14,-5.311,0.750,3,4
13,-2.596,0.000,0,0
13,1.187,0.146,12,8
12,-2.920,1.862,3,21
12,-4.875,1.493,5,4
12,-3.509,0.000,0,4
11,-1.388,2.078,5,26
11,-0.515,0.000,8,10
11,0.373,1.285,7,18
11,-2.506,0.000,1,1
10,-2.070,1.014,5,14
10,-2.384,1.724,7,8
10,-9.390,0.079,5,2
10,-9.719,0.149,3,2
9,-3.883,0.000,5,1
9,-2.362,1.775,10,8
9,-0.060,0.000,1,13
8,-1.111,0.011,3,13
7,-0.639,0.328,8,7
7,1.825,0.000,12,12
7,-1.232,0.000,6,0
6,-3.658,0.744,1,7
6,-1.234,0.000,10,7
6,-7.568,0.420,5,16
6,-8.100,0.063,5,15
6,-7.277,0.000,0,15
5,-3.284,0.000,0,14
5,-0.652,0.587,0,10
5,-5.409,3.090,5,25
5,-3.448,0.000,2,16
5,-2.618,1.982,5,5
5,-3.346,1.243,13,5
5,-0.695,0.219,3,5
4,1.449,0.000,1,11
4,-0.733,0.399,12,7
4,0.000,0.000,2,14
4,-8.100,0.066,5,23
4,-7.277,0.000,0,23
4,-1.287,1.642,10,18
4,-4.927,2.854,3,25
4,-7.568,0.443,5,28
4,-7.638,0.116,0,16
4,0.000,0.000,5,22
4,1.989,0.000,0,22
4,0.680,0.006,3,22
4,-9.165,0.043,0,2
4,-2.972,1.047,11,5
4,-9.390,0.087,5,19
4,-9.165,0.043,0,19
4,-9.719,0.164,3,19
4,-0.244,0.000,0,13
3,-7.441,0.443,5,29
3,-7.671,0.116,0,29
3,-3.648,0.372,1,27
3,-4.545,0.000,13,24
3,-4.743,0.000,14,24
3,-4.545,0.000,11,24
3,-4.301,2.348,5,7
3,-2.504,0.923,5,10
3,-1.362,0.000,12,10
3,-7.671,0.116,0,28
3,-7.344,0.000,3,16
3,0.000,0.000,4,0
3,-6.818,0.000,1,15
3,-7.988,0.000,3,15
3,-0.592,0.000,0,5
3,-0.820,0.000,2,5
3,-3.165,1.562,12,5
3,-4.041,0.000,1,19
2,-7.344,0.000,3,29
2,-3.476,0.236,10,11
2,-3.411,0.000,7,11
2,-2.332,3.767,12,27
2,-3.792,0.111,7,27
2,-5.076,0.601,8,24
2,-3.448,0.000,2,7
2,-5.741,0.000,3,7
2,-6.747,0.000,1,20
2,-7.018,0.000,9,20
2,-5.644,0.000,10,20
2,-7.104,0.000,13,20
2,-7.123,0.000,14,20
2,-7.104,0.000,11,20
2,-5.208,0.000,7,20
2,-6.818,0.000,1,23
2,-7.988,0.000,3,23
2,-1.873,0.091,3,10
2,-3.846,0.000,5,3
2,-5.106,0.000,3,3
2,-1.392,0.000,0,25
2,-7.344,0.000,3,28
2,-3.601,2.476,10,5
2,-2.513,1.533,14,5
2,-3.302,2.121,7,5
2,0.427,0.000,2,13
1,-3.448,,2,29
1,-3.509,,9,11
1,-4.695,,13,27
1,-4.695,,14,27
1,-4.673,,11,27
1,-1.370,,9,7
1,-5.019,,13,7
1,-5.019,,11,7
1,-4.011,,9,5
