mentions_count,tone_avg,tone_std,source_index,person_index
54,-3.829,1.917,5,5
40,-0.220,1.331,5,0
38,-3.255,2.289,3,9
36,-0.380,1.539,3,0
27,-3.777,0.000,1,14
27,-3.429,1.065,5,4
21,-3.739,1.327,5,1
21,-3.209,1.188,3,1
21,-3.376,1.233,5,2
21,-2.879,1.105,3,2
20,-5.048,1.099,5,3
20,-1.055,2.723,0,11
20,-4.624,0.745,5,8
19,-3.955,1.070,3,3
19,-3.255,2.321,3,18
19,-3.255,2.321,3,19
18,-1.827,1.765,7,13
16,-3.490,1.134,3,6
16,-0.614,0.407,0,21
15,0.432,2.831,13,15
15,-3.271,1.214,5,6
14,-2.447,0.152,0,1
14,-4.334,0.000,0,6
14,-2.311,0.218,0,26
14,-2.540,0.003,0,2
13,0.922,0.000,5,27
12,-1.899,0.000,5,12
12,-1.149,0.000,0,12
12,-2.137,0.000,3,12
12,-2.308,0.532,3,4
11,-3.155,1.934,5,10
10,-6.362,0.000,1,3
10,-4.950,0.620,0,3
10,0.512,2.068,0,0
10,-7.667,0.129,5,17
10,-7.992,0.262,3,17
10,-2.795,2.295,0,10
10,-2.601,3.505,10,13
9,-4.607,0.342,5,23
8,0.481,0.103,5,16
8,-4.471,0.143,0,8
8,-1.280,0.000,2,4
8,-2.406,2.258,3,10
7,1.058,0.512,3,16
7,-4.106,0.000,3,23
7,-3.872,0.391,5,28
7,-3.161,0.000,0,4
6,1.491,0.123,0,16
6,0.481,0.106,5,24
6,1.491,0.123,0,24
6,-3.010,0.480,5,7
6,-2.664,1.763,9,7
6,-2.432,0.167,0,7
6,-1.367,0.000,5,20
6,0.893,0.000,0,20
6,-1.134,0.000,3,20
6,-4.545,0.000,14,22
5,-0.147,2.380,11,15
5,-4.375,0.000,2,6
5,-2.469,0.440,3,7
5,-2.356,0.000,9,11
5,-2.398,0.000,13,11
5,-3.016,0.000,12,11
5,-3.808,0.074,3,28
5,-4.509,0.000,3,8
4,-3.931,0.114,5,29
4,-3.386,0.031,0,29
4,-3.235,0.023,3,29
4,-5.155,2.058,12,0
4,-2.880,0.329,12,7
4,-1.286,0.887,14,7
4,-5.429,0.000,6,4
4,-3.016,0.000,12,22
3,-3.597,0.081,5,25
3,0.602,4.442,10,1
3,1.358,0.000,3,24
3,-0.710,2.120,9,15
3,-0.715,2.130,8,15
3,-8.889,0.000,4,6
3,0.245,0.000,7,0
3,-1.422,1.438,13,7
3,-1.420,1.435,11,7
3,-2.114,0.367,7,7
3,-2.356,0.000,9,22
3,-3.672,0.000,7,22
3,-2.854,2.684,7,10
3,-3.081,0.350,12,2
2,0.407,0.575,8,25
2,-2.217,0.031,0,25
2,-2.692,0.000,12,25
2,-1.455,0.333,7,1
2,-2.379,0.000,1,16
2,-0.453,1.196,1,0
2,-2.984,1.958,8,0
2,-3.708,0.000,2,0
2,-1.309,0.000,1,7
2,-4.526,0.000,10,7
2,0.407,0.575,8,7
2,-3.202,3.056,8,8
2,-5.199,0.016,12,8
2,-4.403,0.004,7,8
2,-1.163,4.073,1,10
1,0.000,,9,25
1,0.000,,13,25
1,0.000,,14,25
1,0.000,,11,25
1,-2.326,,7,25
1,-3.226,,3,25
1,-2.692,,12,1
1,-5.238,,9,0
1,-4.737,,10,0
1,-6.867,,13,0
1,-6.867,,14,0
1,-6.438,,11,0
1,-3.495,,5,9
1,-5.703,,3,11
1,-4.355,,6,8
1,-4.647,,2,8
1,-2.892,,13,8
1,-2.899,,11,8
1,-1.299,,1,4
1,-1.042,,8,10
1,-4.355,,6,10
1,-4.647,,2,10
