mentions_count,tone_avg,tone_std,source_index,person_index
75,-1.084,1.626,5,0
48,-0.271,1.713,3,0
27,-0.359,1.115,5,1
26,-0.393,1.065,0,0
24,-0.794,3.532,0,15
22,-7.511,1.952,3,4
21,0.839,1.179,0,1
21,-1.692,3.102,12,1
20,-7.884,0.069,5,4
18,-0.088,1.582,5,5
18,-5.576,0.021,5,8
18,0.068,0.635,5,2
17,-1.320,1.513,5,6
16,-1.027,0.425,5,10
16,-3.928,0.007,5,11
16,0.394,1.744,2,2
15,-0.883,2.879,7,7
15,-0.521,1.752,3,6
14,1.020,0.212,3,5
14,-0.897,1.152,0,10
14,-4.038,1.372,5,17
14,-5.576,0.021,5,12
14,-3.556,0.154,3,11
14,1.642,0.721,6,2
13,-1.201,2.666,5,23
13,2.197,0.464,3,16
13,-4.308,2.292,5,14
12,-5.832,0.000,1,29
12,-9.015,0.016,14,3
12,-5.832,0.000,1,22
11,-6.559,4.394,3,14
11,0.000,0.000,0,2
10,2.153,0.000,5,16
10,0.073,1.406,7,9
10,3.609,0.006,0,5
10,-1.950,1.292,3,1
10,-5.576,0.022,5,19
9,-1.199,1.317,5,13
9,-1.951,2.665,10,7
9,-7.560,1.188,9,3
9,-2.556,1.196,2,0
9,-5.858,0.000,0,8
9,-5.708,0.000,3,8
8,-0.762,0.124,5,9
8,-3.590,0.030,5,18
8,-3.396,0.006,0,18
8,-1.889,1.371,0,6
7,0.956,0.683,1,7
7,-0.102,1.092,10,21
7,-7.800,0.000,10,3
7,-9.091,0.000,0,3
7,-4.596,1.219,3,17
7,-5.858,0.000,0,12
7,-5.708,0.000,3,12
7,-1.273,2.884,3,2
6,-7.363,0.000,0,4
6,0.273,2.756,7,21
6,-11.852,0.000,5,3
6,-10.884,0.000,6,3
6,-9.365,0.000,12,3
6,-9.015,0.016,14,25
6,0.000,0.000,6,0
6,-5.576,0.022,5,26
6,2.620,0.000,5,24
6,-3.154,0.070,5,20
6,-3.891,0.010,0,20
5,-4.459,0.000,1,4
5,-9.422,0.000,1,3
5,-9.068,2.074,2,3
5,-5.708,0.000,3,19
4,-0.775,0.000,0,13
4,-1.266,0.000,3,13
4,-2.360,0.000,12,4
4,2.170,0.236,10,28
4,-1.332,1.235,12,7
4,-1.266,0.000,3,9
4,-6.557,0.000,9,25
4,-1.553,0.000,3,10
4,-5.263,0.089,5,27
4,-6.005,0.016,0,27
4,-5.071,0.028,3,27
4,4.062,0.000,0,24
4,-3.641,0.000,3,18
3,-0.529,0.000,8,13
3,-1.209,0.000,7,13
3,2.069,0.122,7,28
3,-0.775,0.000,0,9
3,-0.487,0.843,14,1
3,-5.858,0.000,0,26
3,-5.708,0.000,3,26
3,2.361,0.000,3,24
3,-5.858,0.000,0,19
3,-3.222,0.000,3,20
2,-0.667,0.943,14,13
2,-4.898,0.000,8,4
2,3.738,0.000,14,7
2,-1.072,0.282,10,9
2,-0.529,0.000,8,9
2,-0.622,0.260,12,9
2,-7.306,0.000,7,25
2,-1.362,0.519,9,1
2,0.905,0.000,10,1
2,-8.727,0.000,8,1
2,0.673,0.000,7,1
2,-5.556,0.000,2,6
1,2.041,,12,13
1,-2.091,,9,28
1,0.893,,8,28
1,1.970,,12,28
1,3.704,,14,28
1,3.636,,11,28
1,1.149,,9,7
1,-1.604,,1,9
1,-0.506,,9,9
1,-1.333,,14,9
1,-5.495,,8,3
1,-1.190,,1,2
1,-5.556,,2,22
