mentions_count,tone_avg,tone_std,source_index,person_index
30,-1.004,0.390,5,2
25,-1.982,1.775,10,3
22,-7.726,0.576,3,1
19,-8.103,0.715,5,1
18,-0.964,1.922,7,3
15,-1.724,0.133,7,6
15,-0.954,0.884,12,0
14,-6.094,2.263,3,14
13,-0.869,0.000,3,2
13,-5.630,0.000,1,9
11,-2.317,1.522,2,7
10,-5.788,0.463,0,8
9,2.496,2.597,3,10
9,0.510,0.000,12,25
8,-2.125,1.483,3,19
8,1.640,0.613,5,10
8,0.271,1.279,0,4
8,-1.820,1.508,2,0
7,-5.786,0.296,3,8
7,0.296,0.783,5,4
7,-1.269,1.985,7,0
7,-6.647,2.132,3,13
7,-2.800,2.523,10,23
7,-4.905,0.000,2,29
7,4.051,1.350,7,28
7,-1.187,1.221,12,5
6,-1.822,0.011,10,6
6,-1.933,1.774,10,0
6,-7.730,0.232,3,17
6,-7.144,2.503,5,13
6,2.529,0.000,13,22
6,-0.726,0.000,12,12
5,0.092,0.814,3,4
5,-7.692,0.000,0,1
5,-2.470,2.945,10,24
4,-5.864,0.185,5,8
4,-1.559,0.392,8,11
4,-4.312,0.000,12,9
4,2.986,0.226,7,4
4,-0.505,2.893,6,0
4,-2.408,4.296,13,0
4,-2.408,4.296,11,0
4,-7.968,0.332,5,17
4,2.202,0.000,11,22
4,0.511,0.000,13,26
4,0.410,0.000,11,26
4,-0.248,2.766,7,24
4,-2.605,0.014,5,18
4,0.086,0.867,0,18
4,0.835,0.002,3,18
4,-0.996,1.472,13,5
4,-1.210,1.899,11,5
3,0.007,1.896,0,20
3,-3.037,0.137,10,11
3,-2.690,0.397,7,11
3,-3.329,1.336,5,19
3,-1.292,0.000,11,27
3,-1.823,0.648,8,12
3,-2.509,0.616,7,5
3,-1.435,0.000,11,7
2,0.000,0.000,5,20
2,2.986,0.277,7,20
2,0.000,0.000,3,20
2,-2.610,0.018,9,11
2,-2.340,2.283,12,11
2,-2.610,0.018,9,16
2,-3.076,0.168,10,16
2,-1.755,0.554,8,16
2,-2.804,0.486,7,16
2,3.241,0.000,10,4
2,-7.692,0.000,0,17
2,-5.024,0.000,0,13
2,-1.391,0.000,13,27
2,-1.394,0.000,14,27
2,-1.584,0.085,7,23
2,-4.100,0.000,5,21
2,-4.933,0.000,0,21
2,-3.467,0.027,3,21
2,0.348,0.008,10,12
2,0.334,0.006,7,12
2,-3.076,0.168,10,5
2,-1.845,0.428,8,5
2,-0.562,0.000,1,15
2,-2.038,0.000,5,15
2,-1.363,0.000,8,15
2,-0.780,0.000,0,15
2,-3.204,0.000,13,15
2,-0.726,0.000,12,15
2,0.475,2.156,6,7
1,-0.340,,13,2
1,3.241,,10,20
1,-0.743,,2,11
1,-3.204,,13,11
1,-4.046,,14,11
1,-4.058,,11,11
1,-5.488,,3,9
1,-9.302,,0,10
1,-0.743,,2,16
1,-3.204,,13,16
1,-3.955,,12,16
1,-4.046,,14,16
1,-4.058,,11,16
1,0.226,,6,4
1,-8.984,,9,0
1,-9.302,,8,0
1,-3.077,,2,14
1,0.770,,9,27
1,-6.435,,10,21
1,-1.391,,13,21
1,-1.394,,14,21
1,-1.292,,11,21
1,-2.055,,1,12
1,-2.941,,9,12
1,-2.703,,13,12
1,-2.703,,11,12
1,0.000,,12,28
1,-4.046,,14,5
1,-2.957,,10,15
1,-2.460,,7,15
1,-2.038,,5,7
1,-1.542,,8,7
1,-0.780,,0,7
1,2.847,,12,7
1,-1.919,,7,7
