mentions_count,tone_avg,tone_std,source_index,person_index
25,-4.729,0.592,0,1
21,-2.271,0.680,5,0
20,-2.590,0.673,0,0
16,-2.301,0.304,3,0
15,-4.371,0.092,0,4
13,-0.714,0.000,11,15
12,-4.341,0.100,5,1
12,-4.509,0.083,3,1
12,-0.563,0.955,5,2
12,-0.640,0.890,0,2
12,-0.654,0.936,3,2
11,2.705,1.697,5,5
11,0.057,1.794,5,7
10,-0.822,3.353,0,18
10,-4.341,0.101,5,4
10,-4.509,0.083,3,4
9,-1.242,0.938,5,3
9,-1.353,1.016,3,3
9,0.863,0.000,3,7
8,1.280,0.000,11,26
8,1.198,2.029,3,5
8,-1.802,0.003,5,6
8,-1.802,0.003,3,6
8,-3.137,0.411,1,0
7,-1.305,1.538,12,3
7,-1.493,0.000,2,2
7,-0.297,0.000,11,28
6,-0.925,1.013,0,3
6,-1.863,0.135,5,8
6,-2.029,0.067,3,8
6,-2.060,0.000,5,13
6,-2.041,0.000,3,13
6,-1.120,0.010,3,20
6,-4.679,0.000,13,12
6,-4.671,0.000,11,12
5,1.679,0.000,11,25
5,-0.472,0.315,7,3
5,-5.228,0.458,5,11
5,-1.514,0.460,0,8
5,-0.162,0.242,5,9
5,-0.216,0.296,0,9
5,-0.216,0.296,3,9
4,1.893,0.000,12,22
4,-5.529,2.276,8,14
4,-1.114,0.000,5,16
4,-1.114,0.000,0,16
4,-1.116,0.002,3,16
4,-1.978,1.778,5,10
4,-1.828,1.772,0,10
4,-2.056,1.697,3,10
4,-1.792,0.000,1,6
4,-1.792,0.000,0,6
4,-2.519,0.000,12,19
3,-1.465,1.778,5,17
3,-1.316,1.772,0,17
3,-1.566,1.697,3,17
3,-0.387,3.144,13,14
3,-4.371,0.109,0,29
3,-4.348,0.000,0,11
3,-4.636,1.386,3,11
3,-5.628,0.000,2,20
3,3.139,0.075,0,5
3,-1.533,2.167,2,5
3,1.577,0.646,7,5
3,-3.633,0.000,13,19
3,-3.598,0.000,11,19
3,-1.888,0.149,5,21
3,-1.881,0.138,3,21
2,-0.585,0.000,1,17
2,-0.405,0.192,5,27
2,-0.540,0.001,0,27
2,-0.541,0.000,3,27
2,2.752,1.571,11,22
2,-0.844,2.079,9,14
2,-2.125,0.000,12,25
2,-4.341,0.136,5,29
2,-4.509,0.112,3,29
2,-0.990,0.000,14,3
2,-5.156,0.000,2,11
2,-1.493,0.000,2,9
2,1.911,0.000,9,5
2,3.162,1.082,11,5
2,-0.585,0.000,1,10
2,-7.595,0.000,5,23
2,-7.595,0.000,0,23
2,-7.607,0.017,3,23
2,-7.595,0.000,5,24
2,-7.595,0.000,0,24
2,-7.607,0.017,3,24
2,-1.792,0.000,1,21
2,-2.474,0.000,12,12
2,-3.555,0.000,0,7
1,-1.493,,2,27
1,1.585,,9,22
1,-0.858,,7,22
1,-1.840,,12,14
1,-2.314,,14,14
1,1.852,,11,14
1,-2.215,,7,14
1,-0.233,,14,25
1,3.927,,11,3
1,-2.632,,4,11
1,-5.567,,2,13
1,3.226,,1,5
1,-6.404,,6,18
1,-2.174,,2,16
1,-7.643,,1,23
1,-7.273,,2,23
1,-7.643,,1,24
1,-7.273,,2,24
1,-1.792,,0,21
1,1.297,,2,0
1,-4.679,,13,0
1,-4.671,,11,0
