mentions_count,source_name,person,tone_avg,tone_std
1056,iheart.com,George Herbert Walker Bush,-0.9345514017382552,0.1263172161136379
529,iheart.com,Jeb Bush,-0.928895487419473,0.11028247284838104
527,iheart.com,John Adams,-0.9347852348461184,0.054915854109314176
406,time.mk,George Bush,-4.2439239034719805,1.200252588423781
299,ksl.com,Donald Trump,-0.2485297294748535,2.2052042537265213
298,time.mk,Vladimir Putin,-4.693017888657601,1.2666289516411922
284,iheart.com,Los Angeles,1.1544454654652556,1.2396278756018535
277,greensboro.com,Donald Trump,-0.4059112553610981,2.142523142095186
239,reuters.com,Lopez Obrador,-3.2679888168437388,0.8224783430358962
209,wacotrib.com,Donald Trump,-0.2462964094197105,2.3849395834733182
206,yahoo.com,Donald Trump,-2.0818851366508744,2.3881779783294523
201,reuters.com,Donald Trump,-2.425797561501237,1.7371022681085586
194,chron.com,Donald Trump,-1.8474240509340112,2.8299226705882394
180,accesswdun.com,Donald Trump,-0.24645029334785234,2.079564605924679
179,msn.com,Donald Trump,-1.567880135858172,1.933702768494027
176,wafa.ps,George Bush,-4.447439353099731,0.0
171,msn.com,George Bush,0.05052732940646695,1.2440685309846609
155,tucson.com,Donald Trump,-0.9145988602771568,2.5747719605012023
149,yahoo.com,Lopez Obrador,-2.3320309773572907,2.0072657749165463
141,sfgate.com,Donald Trump,-1.7782037993784354,2.5750565465230353
115,dailymail.co.uk,Theresa May,0.07221277837225992,1.730881378305266
109,sputniknews.com,Vladimir Putin,-0.2404244802176749,3.4663673135711783
86,washingtonpost.com,Donald Trump,-1.7986980652895768,2.524646414616781
85,msn.com,Ronald Reagan,-0.10459287967598203,1.028319415276418
80,ksl.com,Barbara Bush,1.0440094705106238,0.7062266815059381
80,msn.com,Vladimir Putin,-1.6128775841113268,1.8472875963510291
78,iheart.com,Donald Trump,-0.5931390920747113,0.7389945632979337
78,dailymail.co.uk,Los Angeles,0.6249144071525814,2.8497802870021465
77,msn.com,Barbara Bush,-0.13036557760960898,1.4378980565836357
76,dailymail.co.uk,Donald Trump,-1.2029151298967418,3.1746756588189466
73,yahoo.com,Vladimir Putin,-2.699929202245964,2.3753011987779664
69,ksl.com,Angela Merkel,0.014236344462589812,1.4565206742212968
69,ksl.com,Bill Clinton,0.5089241881522074,1.3434951557612678
65,greensboro.com,Bill Clinton,0.7066946623046633,1.6251852096227213
63,greensboro.com,Angela Merkel,-0.266883743358094,1.1698523986014824
63,tucson.com,Lopez Obrador,0.17240962488942446,0.8187164525774401
63,reuters.com,Vladimir Putin,-1.2399491330157042,1.8443189065675183
62,business-standard.com,Donald Trump,-0.9960951082911016,3.1723401346781457
62,chron.com,Vladimir Putin,-2.054161307262837,1.8035322172031447
60,reuters.com,Theresa May,-0.9489774226557351,1.9606425225774708
59,greensboro.com,Barbara Bush,0.9609547658116424,0.8002876924952452
58,sputniknews.com,Donald Trump,-1.854954508059926,1.929491195741148
56,ksl.com,Lopez Obrador,-0.0952057308916639,0.5660934241794041
54,chron.com,Barbara Bush,-0.39145504731025343,2.5505188369014284
54,chron.com,Kid Rock,-0.3679154369141535,0.9153796478361934
52,indiatimes.com,Donald Trump,-0.7974445192333961,3.0640556662927962
51,wacotrib.com,Barbara Bush,0.952423884173214,1.1669028411076527
51,dailymail.co.uk,Lopez Obrador,-0.025238429937286973,1.6368144399866975
50,sfgate.com,Barbara Bush,-0.7004505275043665,2.0965120405656483
49,wacotrib.com,Bill Clinton,0.8217663693026268,1.9660261913056287
49,chron.com,Los Angeles,-1.699988415997297,4.132312745207429
49,ksl.com,Mikhail Gorbachev,1.0617592842652572,0.6551835242854658
48,msn.com,Theresa May,-0.683547012887478,1.691309362171575
48,sfgate.com,Vladimir Putin,-1.8826103584494145,2.1485766008217477
47,wacotrib.com,Angela Merkel,0.3014508939822972,1.5367209435928653
47,reuters.com,Jamal Khashoggi,-1.7172385592738102,2.133469658367972
46,reuters.com,Los Angeles,-2.950934960524775,2.737521828909101
45,msn.com,Angela Merkel,-1.4252304859488276,1.3209518904309292
44,accesswdun.com,Bill Clinton,1.1301869727681664,1.3364296103728706
44,msn.com,Lopez Obrador,-0.6917012164210099,2.0724059848679524
43,accesswdun.com,Barbara Bush,1.3176151283907287,1.036865586886105
42,sputniknews.com,George Bush,-2.1323186889693995,1.7721636452134464
42,ksl.com,Ronald Reagan,-0.09415555510141642,2.2736577595017016
41,accesswdun.com,Angela Merkel,-0.10598663227802622,1.2442676286551482
41,msn.com,Bill Clinton,-0.3875441041856782,1.737894693339971
41,yahoo.com,George Bush,-1.4739180542357158,1.7276453514978571
39,greensboro.com,Ronald Reagan,0.6696780258591789,1.4963461027240839
39,yahoo.com,Ronald Reagan,-1.2805617898466366,1.4436508264747872
38,yahoo.com,Jamal Khashoggi,-1.7940477743072634,1.7714136415528292
38,msn.com,Jeb Bush,-0.979465473053172,1.864255910967724
37,reuters.com,Angela Merkel,-0.5918546053378176,1.4142618352115264
37,tucson.com,Bill Clinton,0.2394071504388733,1.8584584783273819
37,msn.com,Jamal Khashoggi,-0.842881110267103,1.208199165131394
37,reuters.com,Ronald Reagan,-0.7067277553812332,0.9275209323391188
37,business-standard.com,Vladimir Putin,-1.214701928049828,2.9953292751075304
36,tucson.com,Angela Merkel,-0.6105901521682731,1.6194118334556082
36,yahoo.com,Angela Merkel,-1.7148894040122586,2.4809785667912103
34,greensboro.com,Vladimir Putin,-1.7334642203535136,1.514810510353341
34,tucson.com,Vladimir Putin,-1.8372040231767728,1.7774625889654976
