mentions_count,name
36294,Marko Djuric
21812,Donald Trump
14573,Cambridge Analytica
12155,Aleksandar Vucic
10757,Vladimir Putin
6409,Linda Brown
6067,Stormy Daniels
4648,Mark Zuckerberg
4614,Goran Rakic
4554,Sergei Skripal
4456,Alexander Vucic
4223,Ram Allah
3766,Kim Jong
3197,Theresa May
3128,Larry Nassar
3008,Jeff Landry
2974,Tayyip Erdogan
2758,Barack Obama
2726,Isaiah Samakuva
2710,William Strampel
2589,Michael Cohen
2517,Klaus Johannis
2383,Zoran Zaev
2356,Jens Stoltenberg
2281,Blane Salamoni
2148,Tiffany Haddish
2136,Craiova Brasov
2129,Paul Ryan
