mentions_count,name
16096,Donald Trump
11978,Stephon Clark
7594,Vladimir Putin
6546,Hannes Holmstein Gissurarson
5898,Marko Djuric
4875,Sergei Skripal
4613,Noor Salman
4433,Aleksandar Vucic
4176,Stevante Clark
4112,Pope Francis
4100,Cambridge Analytica
4072,Bill Cosby
3922,Arnold Schwarzenegger
3865,Jesus Christ
3599,Ram Allah
3565,Omar Mateen
3503,Tayyip Erdogan
3424,Al Sharpton
3325,Zoran Zaev
3209,Bruno Gashi
3161,Hillary Clinton
2533,Nicholas Dimitrov
2453,The Weeknd
2436,Isaiah Samakuva
2394,Sergey Lavrov
2322,David Mar Kristinsson
2283,Selena Gomez
2234,Laura Ingraham
