mentions_count,name
19767,Donald Trump
10184,Ron Paul
7289,Kim Yo Jong
6535,Rob Porter
5617,Mike Pence
5191,Hannes Holmstein Gissurarson
4429,John Key
4417,Nancy Pelosi
4071,Ram Allah
3901,Kim Yong-nam
3782,Barack Obama
3760,Vladimir Putin
3334,Paul Ryan
2698,Raj Shah
2639,Harvey Weinstein
2388,Manigault Newman
2249,Craiova Brasov
1988,Thomas Cech
1944,Justin Trudeau
1942,Isaiah Samakuva
1763,Jeff Flake
1741,John Cornyn
1719,Larry Nassar
1713,Simona Halep
1703,Johannes Hahn
1679,Hillary Clinton
1676,Asia Pacific
