mentions_count,name
30549,Donald Trump
11940,Al Ahli
8325,Los Angeles
5507,Jamal Khashoggi
5137,Barack Obama
3528,Hillary Clinton
3170,Alec Baldwin
2931,Santa Claus
2926,Jair Bolsonaro
2919,Mike Pompeo
2741,Ram Allah
2731,Las Vegas
2600,Angela Merkel
2414,Edmund Zagorski
2325,Vladimir Putin
2169,Asia Bibi
2156,Imran Khan
2152,Abu Dhabi
2010,Mike Pence
1960,Stacey Abrams
1907,Benjamin Netanyahu
1889,Asia Pacific
1873,Ali Baba
1834,Tayyip Erdogan
1762,Claire Mccaskill
1728,Prince Harry
1724,Rebecca Blackwell
1703,Cesar Sayoc
1553,Joe Biden
1424,Ariana Grande
