mentions_count,name
25442,Donald Trump
10727,Aleksandar Vucic
10001,Vladimir Putin
9608,Stephon Clark
9341,Marko Djuric
6693,Cambridge Analytica
5841,Hannes Holmstein Gissurarson
4850,Malala Yousafzai
4706,Sergei Skripal
4462,Devonte Hart
4291,David Shulkin
4250,Ram Allah
4165,Sarah Hart
3980,Pope Francis
3894,Theresa May
3694,Bill Cosby
3685,Zachary Cruz
3639,Goran Rakic
3622,Nicolas Sarkozy
3598,Ronny Jackson
3524,Alexander Vucic
3472,Stevante Clark
3446,Barack Obama
3201,Al Sharpton
3156,Roseanne Barr
3152,Stormy Daniels
2845,Isaiah Samakuva
2838,Zoran Zaev
