mentions_count,name
27864,Donald Trump
15293,Cambridge Analytica
14923,Stormy Daniels
11357,Marko Djuric
8331,Hannes Holmstein Gissurarson
7438,Vladimir Putin
7120,Anderson Cooper
6774,Stephanie Clifford
6285,Michael Cohen
5567,Sergei Skripal
5270,Carles Puigdemont
4767,Michael Avenatti
4659,Mark Zuckerberg
4356,Seddique Mateen
4311,Donald Tusk
4226,Zoran Zaev
4175,Tayyip Erdogan
3758,Aleksandar Vucic
3687,Ram Allah
3361,Theresa May
2683,Omar Mateen
2671,Holmstein Gissurarson
2623,Barack Obama
2345,Moses Mustapha Moussa
2310,Klaus Johannis
2200,Karen Mcdougal
2112,Craiova Brasov
