mentions_count,name
10317,Donald Trump
3918,Ram Allah
3740,Vladimir Putin
3218,Kim Yo Jong
2713,Benjamin Netanyahu
2704,Rob Porter
2646,Narendra Modi
2515,Hannes Holmstein Gissurarson
2073,John Key
1839,Mike Pence
1818,Mahmoud Abbas
1808,Isaiah Samakuva
1649,Al Hukm Al Mahalli
1592,Barack Obama
1574,Eric Joering
1567,Ali Hassan
1559,Asma Jahangir
1542,Simona Halep
1504,Norbert Zongo
1467,Ali Baba
1438,Victor Gill
1436,Kim Yong-nam
1409,Hui Ang
1406,Angela Merkel
1396,Zinedine Zidane
1384,Anthony Morelli
1381,Hillary Clinton
