mentions_count,name
18660,Donald Trump
8609,Harvey Weinstein
6301,Hannes Holmstein Gissurarson
6135,Barack Obama
4849,Michelle Obama
4415,Vladimir Putin
3993,Prince Harry
3192,Ram Allah
2570,Meghan Markle
2502,Zoran Zaev
2378,Mike Pence
2353,Craiova Brasov
2314,Simona Halep
2242,Eric Schneiderman
2241,Mahmoud Abbas
2088,Mirai Nagasu
2026,Rex Tillerson
2008,Benjamin Netanyahu
1964,Narendra Modi
1875,Kim Yo Jong
1793,Michael Saakashvili
1793,Kehinde Wiley
1782,Anthony Morelli
1763,Rob Porter
1759,Eric Joering
1745,John Key
1732,Adam Rippon
