mentions_count,name
715010,Donald Trump
326647,Los Angeles
162267,Theresa May
115355,Jamal Khashoggi
106645,Vladimir Putin
104722,Barack Obama
88820,Hillary Clinton
83874,Las Vegas
79302,Angela Merkel
78496,Ram Allah
77231,Abu Dhabi
62449,Rick Scott
58982,Robert Mueller
53705,Andrew Gillum
52879,Nancy Pelosi
51351,Stan Lee
47088,Asia Pacific
46032,Bill Nelson
45401,Stacey Abrams
45086,Tayyip Erdogan
44394,Jeff Sessions
43979,Brian Kemp
43280,Mike Pence
42824,Ron Desantis
40819,Mahmoud Abbas
40002,Mike Pompeo
37483,Benjamin Netanyahu
37404,Jim Acosta
36662,Narendra Modi
35799,Scott Morrison
