mentions_count,name
31415,Marko Djuric
26889,Donald Trump
16028,Aleksandar Vucic
9715,Cambridge Analytica
9212,Vladimir Putin
8894,Kim Jong
6965,Goran Rakic
5988,Alexander Vucic
5247,Stephon Clark
5180,Klaus Johannis
4388,Ram Allah
3444,Stormy Daniels
3410,Suu Kyi
3302,Zoran Zaev
3127,Sergei Skripal
3039,Mark Zuckerberg
2959,Moses Mustapha Moussa
2826,Manigault Newman
2816,Isaiah Samakuva
2784,Corey Feldman
2675,Theresa May
2583,Craiova Brasov
2465,Julian Assange
2427,Win Myint
2334,Barack Obama
2307,Hillary Clinton
2276,Arnaud Beltrame
2216,Tayyip Erdogan
