mentions_count,name
22673,Donald Trump
6878,Barack Obama
5394,Andrew Gillum
4524,Van Vessem
3879,Las Vegas
3794,Los Angeles
3300,Michael Deleo
3087,Rick Scott
3067,Alec Baldwin
2758,Asia Bibi
2611,Stacey Abrams
2463,Ron Desantis
2347,Maura Binkley
2294,Nancy Van Vessem
2270,Hillary Clinton
2178,Roger Federer
2159,Brian Kemp
2158,Ram Allah
2121,Bill Nelson
2010,Angela Merkel
1996,Jamal Khashoggi
1945,Scott Paul Beierle
1885,Novak Djokovic
1823,Rayo Vallecano
1741,Imran Khan
1698,Tayyip Erdogan
1649,Scott Maddox
1461,Erskin Wesson
1439,Mike Pompeo
1438,Matt Rosendale
