mentions_count,name
27529,Nikolas Cruz
23653,Donald Trump
8973,Jacob Zuma
8109,Sigmar Gabriel
6078,Cyril Ramaphosa
5902,Hannes Holmstein Gissurarson
5094,Robert Runcie
4661,Rick Scott
4247,Marjory Stoneman Douglas
3857,Rex Tillerson
3607,Nicholas Cruz
3498,Zinedine Zidane
3456,Klaus Johannis
3409,Jim Lewis
3394,Aaron Feis
3343,Marjory Stoneman
3071,Lynda Cruz
3021,Vladimir Putin
2826,Barack Obama
2805,Ash Wednesday
2773,Pope Francis
2611,Bill Nelson
2606,Simona Halep
2598,Stoneman Douglas
2489,Nicolas Cruz
2445,Nikolas Cross
2439,Barbara Kumbatovich
2345,Craiova Brasov
