mentions_count,name
30444,Donald Trump
8157,Los Angeles
6634,Barack Obama
4392,Jamal Khashoggi
4160,Brian Kemp
3715,Hillary Clinton
3301,Stacey Abrams
3203,Mike Pompeo
3085,El Chapo
2699,Abu Dhabi
2559,Ram Allah
2550,Theresa May
2482,Angela Merkel
2390,Max Müller
2236,Hassan Rouhani
2233,Pete Davidson
2075,Ariana Grande
1959,Las Vegas
1954,Vladimir Putin
1887,Scott Morrison
1766,Colten Treu
1759,Tayyip Erdogan
1698,Asia Pacific
1683,Andrew Gillum
1681,Brent Taylor
1619,Marsha Blackburn
1618,Victoria Beckham
1569,Dieu Nalio Chery
1523,Rick Grimes
1391,Masch Meyer
