mentions_count,name
23097,Donald Trump
16563,Nikolas Cruz
8057,Hillary Clinton
7238,Robert Mueller
5322,Marjory Stoneman Douglas
4819,Sigmar Gabriel
4682,Vladimir Putin
4609,Stoneman Douglas
4531,Philip Vujanovik
4507,Hannes Holmstein Gissurarson
3845,Marco Rubio
3795,Rick Scott
3660,Ram Allah
3577,Nathan Chen
3519,Lindsey Vonn
2997,Isaiah Samakuva
2986,Christopher Wren
2912,Jeff Sessions
2840,Melania Trump
2724,Yuzuru Hanyu
2589,Barack Obama
2534,Alejandro Murat
2295,Kosovo Hashim
2256,Simona Halep
2180,Narendra Modi
2130,Theresa May
2080,Yevgeny Prigozhin
2017,Klaus Johannis
