mentions_count,name
21719,Donald Trump
8769,Hannes Holmstein Gissurarson
6861,Jacob Zuma
6684,Mardi Gras
6480,Ash Wednesday
6371,Shaun White
5398,Benjamin Netanyahu
4699,Rob Porter
3782,Vladimir Putin
3114,Cyril Ramaphosa
3011,Stormy Daniels
3002,Barack Obama
2859,Ram Allah
2806,Simona Halep
2711,Zinedine Zidane
2664,Michael Cohen
2559,Boris Johnson
2540,Ayumu Hirano
2189,John Key
2188,Stephanie Clifford
1969,Nicholas Dimitrov
1951,Craiova Brasov
1937,Rex Tillerson
1917,Prince Harry
1872,Jawad Bendaoud
1870,Christopher Wren
1865,Gonzalo Higuaín
