mentions_count,name
16388,Donald Trump
9944,Kim Yo Jong
5788,Mike Pence
5282,Ram Allah
5138,Hannes Holmstein Gissurarson
5068,Rob Porter
4201,Kim Yong-nam
3389,Justin Trudeau
3383,John Key
2688,Robert Mueller
2613,Simona Halep
2556,Tayyip Erdogan
2468,Vladimir Putin
2383,Devin Nunes
2368,Don Mcgahn
2363,Narendra Modi
2359,Benjamin Netanyahu
2336,Mahmoud Abbas
2292,Kim Jong
2271,Raj Shah
2154,Van Halen
2093,Hillary Clinton
2066,Adam Schiff
2030,Jonathan Conricus
1959,David Sorensen
1954,Barack Obama
1833,Sinn Fein
