mentions_count,name
19966,Donald Trump
8084,Hannes Holmstein Gissurarson
5394,Mardi Gras
5174,Jacob Zuma
4794,Barack Obama
4579,Vladimir Putin
4324,Melinda Gates
3674,Rob Porter
3604,Benjamin Netanyahu
3274,Chloe Kim
3212,Ram Allah
3178,Prince Harry
2773,Julian Assange
2741,Bill Gates
2530,Tayyip Erdogan
2481,Cyril Ramaphosa
2396,Rex Tillerson
2146,Michelle Obama
2079,Craiova Brasov
2007,Mike Pence
1952,Simona Halep
1858,Ash Wednesday
1807,Mahmoud Abbas
1798,Meghan Markle
1783,Ed Sheeran
1738,Zinedine Zidane
1720,Asia Pacific
1653,Mick Mulvaney
