mentions_count,name
22042,Donald Trump
8425,Los Angeles
4318,Barack Obama
3584,Jane Doe
3563,Jamal Khashoggi
3138,Keiko Fujimori
2858,Robert Bowers
2835,Jair Bolsonaro
2561,Stacey Abrams
2502,Las Vegas
2488,Ram Allah
2334,Max Müller
2136,Andy Rubin
2055,Hillary Clinton
2040,Mike Pompeo
2006,Asia Bibi
1981,Prince Harry
1976,Angela Merkel
1921,Abu Dhabi
1905,Vladimir Putin
1884,Harvey Weinstein
1776,Paul Ryan
1729,Irving Younger
1671,Tayyip Erdogan
1656,Theresa May
1596,Klaus Johannis
1562,Asia Pacific
1532,Oprah Winfrey
1531,Imran Khan
1492,Willie Mccovey
