GLOBALEVENTID,MentionSourceName,f0_
791121083,525.az,1
791158568,525.az,1
791210528,525.az,1
791182377,525.az,1
791209874,525.az,1
791125689,525.az,1
791159067,525.az,1
791210850,525.az,1
791209875,525.az,1
791210256,525.az,1
791200509,aex.ru,1
791210765,aex.ru,1
791210872,aex.ru,1
791210864,aex.ru,1
791210870,aex.ru,1
791210785,aex.ru,1
791210783,aex.ru,1
791210112,aex.ru,1
791210388,aex.ru,1
791210391,aex.ru,1
791210393,aex.ru,1
791209772,aex.ru,1
791210859,aex.ru,1
791175151,aex.ru,1
791160735,aex.ru,1
791210049,aex.ru,1
791210784,aex.ru,1
791210705,aex.ru,1
791210612,aex.ru,1
791210874,aex.ru,1
791209870,aex.ru,1
791210080,aex.ru,1
791210392,aex.ru,1
791209877,aex.ru,1
791098041,aex.ru,1
791130422,afn.by,1
791206970,afn.by,1
791207322,afn.by,1
791206971,afn.by,1
791088262,afn.by,1
791086451,afn.by,1
791123381,afn.by,1
791206967,afn.by,1
791141590,afn.by,1
791206902,afn.by,1
791207334,afn.by,1
791207282,afn.by,1
791196938,afn.by,1
791207335,afn.by,1
791191187,aif.ru,1
791119175,aif.ru,1
791158963,aif.ru,1
791181773,aif.ru,1
791171430,aif.ru,1
791213584,aif.ru,1
791208393,al.com,1
791083720,al.com,1
791098282,al.com,1
791180522,al.com,1
791209488,al.com,1
791208353,al.com,1
791082765,al.com,1
791208384,al.com,1
791084812,al.com,1
791208363,al.com,1
791132107,atv.hu,1
791081360,atv.hu,1
791098219,atv.hu,1
791180814,atv.hu,1
791148283,atv.hu,1
791156339,atv.hu,1
791156338,atv.hu,1
791144312,atv.hu,1
791155954,atv.hu,1
791126402,bgr.in,1
791102117,bnr.bg,1
791207002,bnr.bg,1
791213686,bnr.bg,1
791213690,bnr.bg,1
791099590,bnr.bg,1
791213689,bnr.bg,1
791214042,bnr.bg,1
791213687,bnr.bg,1
791213121,bnr.bg,1
791213684,bnr.bg,1
791213683,bnr.bg,1
791196612,bnr.bg,1
791213685,bnr.bg,1
791213119,bnr.bg,1
791213688,bnr.bg,1
791208092,bta.bg,1
791208094,bta.bg,1
791208095,bta.bg,1
791208138,bta.bg,1
791209313,bta.bg,1
791210258,bta.bg,1
791081523,bta.bg,1
791209330,bta.bg,1
791209924,bta.bg,1
791209921,bta.bg,1
791208091,bta.bg,1
