mentions_count,name
13612,Donald Trump
2934,Hillary Clinton
2326,Barack Obama
1869,Jeff Sessions
1244,Robert Mueller
1191,Justin Trudeau
1183,Mike Pompeo
1172,Melania Trump
1139,Kate Spade
1117,Anthony Bourdain
1020,Vladimir Putin
981,Bill Clinton
933,Kirstjen Nielsen
919,Sarah Huckabee Sanders
894,Ivanka Trump
876,Paul Ryan
872,James Comey
817,Nancy Pelosi
705,Paul Manafort
688,Michael Cohen
670,Justice Kennedy
656,Cambridge Analytica
648,Angela Merkel
648,Bernie Sanders
637,Justice Anthony Kennedy
620,Mark Sanford
620,Scott Pruitt
619,Gavin Newsom
