mentions_count,name
483,Donald Trump
463,Anthony Bourdain
128,Kate Spade
111,Barack Obama
91,Justin Trudeau
80,Jeff Sessions
75,Muhammad Ali
72,Hillary Clinton
63,Vladimir Putin
63,Scott Pruitt
63,Stormy Daniels
56,Rudy Giuliani
56,Melania Trump
51,Ali Watkins
47,Paul Manafort
47,Robert Mueller
46,Charles Krauthammer
43,Kim Kardashian
41,Mister Rogers
41,Paul Ryan
40,Gavin Newsom
38,Doug Ford
37,Eric Ripert
36,Alice Marie Johnson
36,Asia Argento
36,Bill Clinton
36,Harvey Weinstein
33,Mike Pompeo
