mentions_count,name
810,Cambridge Analytica
487,Donald Trump
135,Vladimir Putin
133,Barack Obama
132,Mark Zuckerberg
87,Hillary Clinton
76,Robert Mueller
69,Bruce Rauner
64,Stormy Daniels
58,Cynthia Nixon
56,Stoneman Douglas
55,Nikolas Cruz
49,Brian Manley
47,Karen Mcdougal
47,Zachary Cruz
46,Jeff Sessions
45,Dan Lipinski
45,Mark Anthony Conditt
43,Sheryl Sandberg
43,Marie Newman
42,Andrew Mccabe
41,Michael Cohen
39,Harvey Weinstein
38,Bill Clinton
38,Paul Ryan
36,Jerome Powell
34,Suu Kyi
34,James Comey
