mentions_count,name
495,Donald Trump
436,Cambridge Analytica
130,Stormy Daniels
116,Stephon Clark
101,Hillary Clinton
81,Mark Zuckerberg
81,Barack Obama
67,Paul Manafort
67,Robert Mueller
59,David Shulkin
58,Caroline Sunshine
53,Bill Clinton
51,John Ford
51,John Milton
50,Sarah Huckabee Sanders
47,Vladimir Putin
44,Omar Mateen
44,Michael Flynn
43,Michael Cohen
41,Xavier Becerra
38,Sarah Sanders
35,Jeff Sessions
34,Chelsea Manning
34,Stevante Clark
33,Julian Assange
31,Peter Thiel
31,Amy Goodman
30,Mary Altaffer
