mentions_count,name
253,Donald Trump
159,Michael Cohen
65,Robert Mueller
61,Charles Koch
60,Rudy Giuliani
59,Hun Sen
55,Neil Diamond
48,Hillary Clinton
45,Vladimir Putin
44,Tom Cruise
42,Imran Khan
41,Barack Obama
40,Mary Rose Ballocanag
39,Donald John Trumpgiuliani
34,Jeremy Dwyer-Lindgren
33,Brett Kavanaugh
32,Robert Mugabe
29,Andrew Brunson
27,Nelson Chamisa
27,Nabi Saleh
25,James Roberts
24,Mike Pompeo
23,Emmerson Mnangagwa
21,Rudolph Giuliani
21,Stormy Daniels
21,Lanny Davis
20,Paul Ryan
19,Etinosa Yvonne Osayimwen
