mentions_count,name
421,Donald Trump
150,Hillary Clinton
141,Jeff Sessions
103,Kirstjen Nielsen
100,Laura Bush
69,Barack Obama
65,Melania Trump
47,Robert Mueller
46,James Comey
44,Peter Strzok
42,Chris Hardwick
39,Michael Horowitz
38,Angela Merkel
37,Ivan Duque
37,Gustavo Petro
35,Paul Ryan
34,Rupert Stadler
31,Cambridge Analytica
31,Kellyanne Conway
30,Christopher Wren
29,Paul Manafort
28,Mike Pence
27,Peter Knegothe
27,Stephen Miller
25,Mike Pompeo
25,Bob Goodlatte
23,Stephanie Grisham
23,Horst Seehofer
