mentions_count,name
432,Donald Trump
167,Scott Pruitt
154,Cambridge Analytica
103,Barack Obama
90,Hillary Clinton
76,Mark Zuckerberg
63,Vladimir Putin
62,Stormy Daniels
56,Robert Mueller
54,Conor Mcgregor
51,Sergei Skripal
50,Michael Cohen
45,Sheryl Sandberg
43,Sarah Huckabee Sanders
41,Jeff Sessions
36,Paul Manafort
35,Yulia Skripal
33,John Key
31,Glen Mills
29,Larry Kudlow
29,Cecil Taylor
28,Blake Farenthold
28,Ted Kennedy
28,Kirstjen Nielsen
27,Prince Harry
26,Tiger Woods
26,Bill Clinton
26,"Martin Luther King, Jr."
