mentions_count,name
200,Donald Trump
99,Ivanka Trump
58,Amy Goodman
38,Barack Obama
37,Cambridge Analytica
30,Sergio Mattarella
27,Larry Hagman
25,Carlo Cottarelli
23,Hillary Clinton
22,LeBron James
22,Mamoudou Gassama
21,Margarita Melville
21,John McCain
19,Paolo Savona
19,Mike Pompeo
19,Sarah Huckabee Sanders
19,Ivan Duque
18,Harvey Weinstein
17,Gustavo Petro
17,Michelle Wolf
16,Richard Rodgers
16,Todd Purdum
16,Jeff Sessions
16,Allan Kittleman
15,John Key
14,Sergio Fajardo
14,Kim Jong
14,Martin Luther King
