mentions_count,name
207,Donald Trump
77,John McCain
72,Michael Cohen
50,Prince Harry
48,Gina Haspel
46,Meghan Markle
41,Mike Pence
39,Mike Pompeo
35,Barack Obama
29,Cambridge Analytica
28,Hillary Clinton
26,Tai Chi
24,Najib Razak
24,Stormy Daniels
23,Kelly Sadler
23,Kanye West
22,Rudy Giuliani
21,Columbus Nova
20,Michael Avenatti
18,Jeff Sessions
18,Patrick Melrose
18,Robert Mueller
18,Eric Schneiderman
17,Mary Fallin
16,Meghan Mccain
16,Haider Al-Abadi
15,Tiger Woods
15,James Forman
15,Sarah Huckabee Sanders
