mentions_count,name
241,Donald Trump
236,Cambridge Analytica
196,Stoneman Douglas
98,Marjory Stoneman Douglas
69,John Milton
49,Barack Obama
45,Emma Gonzalez
42,Hillary Clinton
35,David Hogg
29,Ariana Grande
29,Cameron Kasky
29,Arnaud Beltrame
26,Jim Mattis
26,"Martin Luther King, Jr."
25,Mark Zuckerberg
25,Naomi Wadler
24,Paul McCartney
24,Miley Cyrus
23,Marco Rubio
23,Vladimir Putin
23,John Lennon
23,Stormy Daniels
22,Edna Chavez
21,Joe Biden
21,Jaelynn Willey
21,Jaclyn Corin
20,Emma Gonz
20,Zion Kelly
