mentions_count,name
452,Donald Trump
237,James Comey
201,Barbara Bush
139,Hillary Clinton
135,Michael Cohen
95,Andrew Mccabe
92,Robert Mueller
91,Michael Flynn
71,Mike Pompeo
67,Rudy Giuliani
66,Cambridge Analytica
56,Barack Obama
56,Vladimir Putin
53,Raúl Castro
52,Jeff Sessions
41,Mike Flynn
41,Natalie Portman
41,Stormy Daniels
40,Reince Priebus
39,Mike Pence
36,Christopher Steele
33,Paul Manafort
33,Mark Zuckerberg
33,Lois Riess
32,Bill Clinton
31,Loretta Lynch
31,Tim Bergling
31,Scott Pruitt
