mentions_count,name
708,Brett Kavanaugh
539,Donald Trump
174,Justice Anthony Kennedy
131,Liu Xiang
126,Theresa May
99,Barack Obama
96,Bill Clinton
90,Neil Gorsuch
87,Boris Johnson
85,Vladimir Putin
85,Justice Kennedy
82,Larry Krasner
79,Anthony Kennedy
70,Heidi Heitkamp
70,Hillary Clinton
66,Susan Collins
64,Amy Coney Barrett
58,Robert Mueller
58,Joe Manchin
57,Liu Xiaobo
54,Steven Hammond
54,Chris Hayes
53,Joe Donnelly
52,Lisa Murkowski
51,Kenneth Starr
49,Chuck Schumer
48,David Davis
48,Cambridge Analytica
47,Mike Pence
