mentions_count,name
555,Donald Trump
350,Hillary Clinton
248,Barack Obama
198,Jamal Khashoggi
169,George Soros
138,John Brennan
121,Maxine Waters
107,Megyn Kelly
101,Joe Biden
94,Robert De Niro
93,Eric Holder
83,Debbie Wasserman Schultz
66,Wasserman Schultz
62,Andrew Gillum
52,Bill Clinton
49,Ron Desantis
45,Jeff Zucker
43,Cambridge Analytica
41,Mike Pence
40,Brett Kavanaugh
39,Michael Avenatti
37,Nancy Pelosi
36,Jeff Sessions
35,Kristine Potter
34,Vladimir Putin
34,Ted Cruz
33,Sarah Sanders
32,Elon Musk
