mentions_count,name
516,Donald Trump
334,Jamal Khashoggi
165,Mike Pompeo
137,Elizabeth Warren
131,Ted Cruz
98,Barack Obama
93,Hillary Clinton
90,Jeff Koehler
82,Brett Kavanaugh
81,Stormy Daniels
78,King Salman
58,Roseanne Barr
50,Byron Mallott
50,Michael Cohen
48,Vladimir Putin
48,Carol Anderson
45,Chris Hayes
44,Lindsey Graham
43,Rick Scott
42,Melania Trump
42,Robert Mueller
41,Justice Kavanaugh
40,Nancy Pelosi
40,Paul Manafort
39,Jared Kushner
38,Tayyip Erdogan
37,Heidi Heitkamp
36,Mcmorris Rodgers
