mentions_count,name
354,Donald Trump
155,John David Mercer
123,Manigault Newman
122,Tiger Woods
110,Kyle Terada
93,Rory Mcilroy
84,Chris Collins
79,Nancy Pelosi
65,Dustin Johnson
64,Justin Thomas
56,Heather Heyer
51,Alex Jones
51,Trevor Hughes
50,Jordan Spieth
50,Phil Mickelson
45,Jon Rahm
43,Mary Jane
37,Michael Avenatti
37,Hillary Clinton
36,Al Qaeda
36,Rickie Fowler
33,Jim Furyk
33,Robert Mueller
32,John Ray
32,Fresenius Kabi
31,Bryson Dechambeau
31,John Wauldron
31,Sergio Garcia
30,Paul Manafort
