mentions_count,name
486,Donald Trump
240,Michael Cohen
173,Gina Haspel
134,Columbus Nova
122,Mike Pompeo
110,Barack Obama
105,Stormy Daniels
95,Hillary Clinton
91,John McCain
87,Robert Mueller
83,Tony Kim
76,Mike Pence
74,Eric Schneiderman
69,Bill Clinton
62,Michael Avenatti
55,Grechen Shirley
54,Mahathir Mohamad
51,Rudy Giuliani
48,Harvey Weinstein
47,Viktor Vekselberg
47,Najib Razak
43,Cambridge Analytica
41,Patrick Melrose
41,Kim Dong Chul
39,Prince Harry
39,Meghan Markle
39,Vladimir Putin
38,Sarah Huckabee Sanders
