mentions_count,name
13971,Donald Trump
4612,John McCain
4076,Paul Manafort
3583,Melania Trump
3239,Michael Cohen
3003,Lady Melania
2789,Manigault Newman
2722,Hillary Clinton
2485,Robert Mueller
2268,Barack Obama
2060,Aretha Franklin
1917,Kim Jong
1867,Jeremy Dwyer-Lindgren
1731,Jeff Sessions
1558,Mollie Tibbetts
1269,Brett Kavanaugh
1251,Pope Francis
1216,Urban Meyer
1208,Vladimir Putin
1130,Elon Musk
1091,Stormy Daniels
1068,Peter Knego
1039,Josh Shapiro
991,Alex Jones
989,John Brennan
984,Nancy Pelosi
964,Ben Mutzabaugh
964,Tiger Woods
