mentions_count,name
794,Manigault Newman
526,Donald Trump
194,Omarosa Manigault Newman
129,Paul Manafort
123,Peter Strzok
122,Josh Shapiro
114,Hillary Clinton
111,Omarosa Manigault
108,John Key
98,Janet Clark
84,Ben Mutzabaugh
83,Robert Mueller
79,Jeremy Dwyer-Lindgren
78,Jeff Sessions
78,Elon Musk
71,Aaron Saunders
66,Andrew Revkin
59,Barack Obama
55,Chris Hayes
54,Scott Parker
50,Paul Ryan
48,Walt Disney
47,Indian Ocean
47,Tayyip Erdogan
45,Michael Jackson
44,Kellyanne Conway
40,Kevin Nicholson
