mentions_count,name
15049,Donald Trump
3594,Hillary Clinton
3131,Barack Obama
2116,Steve Bannon
1993,Robert Mueller
1836,Michael Wolff
1788,Jeff Sessions
1557,Harvey Weinstein
1450,Larry Nassar
1326,Oprah Winfrey
1163,Mike Pence
1085,Lindsey Graham
988,Sarah Huckabee Sanders
973,Paul Ryan
962,"Martin Luther King, Jr."
958,Bill Clinton
911,Jared Kushner
839,James Comey
834,Rex Tillerson
748,Chuck Schumer
721,Jeff Flake
702,John Key
694,Vladimir Putin
687,James Franco
681,Nancy Pelosi
679,Jerry Brown
679,Roy Moore
