mentions_count,name
211,Donald Trump
136,Cambridge Analytica
86,Scott Pruitt
62,Mark Zuckerberg
56,Barack Obama
43,Vladimir Putin
38,Jimmy Kimmel
38,John Key
34,Sean Hannity
33,Melania Trump
32,Nancy Pelosi
29,Warren Jeffs
28,Roy Jeffs
27,Hillary Clinton
27,Larry Kudlow
26,Viktor Orbán
21,Bashar Assad
21,Patrick Reed
19,Coretta Scott
18,Coretta Scott King
18,John Milton
18,Lindsey Graham
18,Tiger Woods
16,Chadwick Boseman
16,Mitt Romney
16,Martin Luther King
15,Luiz Inacio Lula
15,Conor Mcgregor
15,Jeff Bezos
