mentions_count,name
249,Donald Trump
47,Hassan Rouhani
43,Barack Obama
43,Hillary Clinton
39,Mariah Carey
34,Amy Goodman
30,Matthew Riehl
29,Ali Khamenei
23,Jared Kushner
23,Tony Spurlock
22,Mahmoud Ahmadinejad
22,Hedayatollah Khademi
21,Roy Moore
20,Ryan Seacrest
20,Dave Gettleman
18,Mike Pence
18,Justice John Roberts
18,Vladimir Putin
17,Robert Mueller
17,Harvey Weinstein
17,Jessica Leeds
17,Eli Manning
16,Melania Trump
16,Bill Clinton
15,Jeff Sessions
15,Rose Marie
15,John Bonifaz
15,Laura Chinchilla
