mentions_count,name
501,Donald Trump
189,Paul Manafort
179,Jeremy Dwyer-Lindgren
168,Jeff Sessions
129,Robert Mueller
127,Andrea Melendez
111,Ron Desantis
108,Hillary Clinton
103,Peter Knego
89,Barack Obama
88,Noah Berger
83,Mollie Tibbetts
79,Daryl Bjoraas
71,Donald John Trumptrump
71,Jim Acosta
63,Jim Schultz
60,Michael Cohen
60,Mike Pence
56,Bob Mueller
53,Ben Mutzabaugh
53,Vladimir Putin
52,Anthony Bourdain
48,Brett Kavanaugh
48,Al Franken
45,Ronald Reagan
44,Paul Kitagaki Jr
41,Sarah Huckabee Sanders
41,Rick Scott
