mentions_count,name
385,Donald Trump
316,Ivanka Trump
216,Hillary Clinton
195,Jamal Khashoggi
184,Nancy Pelosi
96,Barack Obama
75,Carlos Ghosn
61,King Salman
59,Samuel Jimenez
55,Tamara Oneal
53,Jared Kushner
50,Mike Epps
50,Robert Mueller
49,Jim Acosta
47,Maggie Fox
47,Theresa May
45,Matthew Whitaker
40,Stacey Abrams
38,Alyssa Newcomb
37,Cindy Hyde-Smith
36,Minyvonne Burke
36,Cory Booker
34,Peter Mirijanian
34,Lance Mason
33,Anthony Guglielmi
33,Jeff Sessions
32,Le Maire
32,Seth Moulton
31,Juan Lopez
