mentions_count,name
512,Donald Trump
246,Kate Spade
191,Gavin Newsom
174,John Woo
166,Hillary Clinton
121,Antonio Villaraigosa
92,Melania Trump
92,Bill Clinton
86,Barack Obama
77,Lee Gelernt
77,Kim Kardashian
77,Dianne Feinstein
73,Dana Rohrabacher
65,Cambridge Analytica
60,Alice Johnson
57,Chris Hayes
57,Ivanka Trump
57,Alice Marie Johnson
55,Robert Mueller
55,Scott Pruitt
53,Lujan Grisham
52,Scott Baugh
51,Brock Turner
49,Harley Rouda
49,Jeff Sessions
48,Kelly Sadler
46,Bob Menendez
46,Martha Roby
