mentions_count,name
63,Jair Bolsonaro
62,Brett Kavanaugh
48,Sara Netanyahu
30,Matteo Salvini
29,Milorad Dodik
27,Meng Hongwei
27,Nicolas Feuz
26,Lukas Dhont
25,Fernando Haddad
24,Daniel Zimmermann
23,Dragan Covic
21,Antonio Ferrara
20,Gerhard Pfister
18,Donald Trump
18,Haddad Fernando
16,Jamal Khashoggi
16,Horst Seehofer
16,Claudio Leonardi
16,Ashok Ledergeber
16,Fabienne Peter
15,Yamal Khashoggi
14,Ciro Gomes
13,Le Dimanche
13,Ingrid Schindler
13,Canton Lucerne
12,Blasey Ford
12,Barbara Gysel
12,Andreas Hostettler
11,Domenico Lucano
10,Dilma Rousseff
