mentions_count,name
171,Le Matin
36,Rudolf Diesel
30,Henri Van Breda
27,Rudy Giuliani
27,Kim Jong
25,Johann Schneider-Ammann
25,Mark Zuckerberg
25,America Latin
25,Canton Zurich
19,Canton Lucerne
19,Donald Trump
18,Anita Weyermann
17,Kim Kardashian
16,Lombard Edm
13,Cambridge Analytica
13,A Laurent Antonoff
13,Werner Faymann
13,Ludovic Baron
12,Matthew Delormeau
12,Bertrand Cantat
11,A Elisabeth Eckert
11,Heinz Tnnler
10,Eva Herzog
10,Laurent Siebenmann
10,Pedro Sanchez
10,Alexis Kohler
10,Mike Pompeo
9,Daniel Ortega
9,Felix Lehner
9,Corinne Grond
