mentions_count,name
228,Donald Trump
155,Kim Jong
113,Frida Kahlo
47,Angela Merkel
34,Salah Abdeslam
30,Chung Eui Yong
23,Le Matin
20,Theresa May
20,Mauro Poggia
20,Ali Oulkadi
20,Paul Manafort
20,Dennis Rodman
20,Christoph Blocher
19,Heiko Maas
18,John Rich
18,Christine Talos
18,Bernard Hinault
17,Alain Berset
16,Marcel Mauss
16,Mathieu Boulegue
16,Rodrigo Duterte
15,Barbie Frida Kahlo
15,Nguyen Huong Giang
15,Shinzō Abe
14,Sun Myung Moon
14,Rex Tillerson
14,Jon Favreau
13,Catholic Pope
12,Jordi Sanchez
12,Christopher Ammann
