mentions_count,name
74,Winnie Mandela
41,Seif Al-Islam
40,François Hollande
39,Nelson Mandela
37,Carlos Alvarado
37,Thomas Fabius
33,Jaich Al-Islam
28,Adam Levine
27,Donald Trump
26,Amber Wstneck
26,Abdel Al-Sissi
25,Ethan Couch
23,Laura Ingraham
22,Luther King
21,Fabricio Alvarado
19,David Hogg
19,Carles Puigdemont
18,America Latin
18,Square Franois Holland
18,Holland Sarkozy
16,Le Matin
15,Muammar Gaddafi
15,Heike Makatsch
14,Rica Alvarado
14,Mount Pizzo
13,Winnie Madikizela-Mandela
13,Tayyip Erdogan
13,Philippe Martinez
11,Vladimir Putin
11,Andrew Mccabe
