mentions_count,name
152,Donald Trump
84,Mark Zuckerberg
67,Vojislav Šešelj
52,Cambridge Analytica
37,Selfie A Christian
34,Le Matin
32,Christine Lagarde
28,Nuria Gorrite
22,A Selfie A Christian
21,François Hollande
20,Vladimir Putin
19,Jean-Philippe Gaudin
18,Michael Cohen
17,Vaud Jean-Philippe
17,Antoine Lambert
16,Mehdi Kassou
13,David Pichonnaz
13,Thomas Campbell
13,Pascal Broulis
12,Charles Herbert Best
12,Ollanta Humala
12,Barack Obama
12,Kim Jong
12,Eberhard Kornfeld
12,Carlo Sommaruga
11,Nicolas Pinguely
11,Reto Largo
11,Maria Zakharova
11,Elliot Richardson
10,Arun Chandrasekharan
