mentions_count,name
95,Donald Trump
65,Theresa May
49,Stormy Daniels
45,Nikol Pachinian
43,David Goodall
43,Niranjan Shrestha
40,Amber Rudd
33,Serge Sarkisian
30,Le Matin
29,Nicolas Maduro
28,Sabrina Kouider
27,Julius Baer
25,Gaza Gaza
25,Sophie Lionnet
24,Ueli Maurer
24,Terry Gilliam
22,Jacques Neirynck
19,Alain Berset
19,Simonetta Sommaruga
19,Ouissem Medouni
18,Paulo Branco
18,Tariq Ramadan
18,Angela Merkel
14,Kim Jong
13,Mahmoud Abbas
12,Hasan Rohani
12,Michael Cohen
12,Nik Hartmann
11,Castle Dallaman
