mentions_count,name
90,Jacob Zuma
72,Tariq Ramadan
47,Barack Obama
43,Kim Jong
42,Martin Schulz
39,Carles Puigdemont
33,Donald Trump
31,Michelle Obama
24,Le Matin
23,Angela Merkel
22,Jacob Zuma
22,Andrea Nahles
22,Julian Assange
21,Stephen Mader
21,Cyril Ramaphosa
20,Susanne Ruoff
18,Benjamin Netanyahu
17,Vladimir Putin
16,Nico Gaspari
16,Mark Rutte
14,Stadtblog Zurich
14,America Latin
13,Carl Lutz
12,Hillary Clinton
12,Fuentes Knight
12,Austro Bernhard Odehnal
12,Matthias Schssler
12,Michael Brown
