mentions_count,name
81,Angela Merkel
59,Friedrich Merz
47,Nikki Haley
26,Jens Spahn
23,David Earl Miller
23,Le Matin
22,Donald Trump
21,Santa Claus
20,Christophe Castaner
20,Simonetta Sommaruga
18,Kendrick Lamar
16,Rex Tillerson
15,Roger Sessions
15,Heather Nauert
14,Horst Alain Berset
14,Ueli Maurer
13,Jim Mattis
13,William Byrd
12,Carlos Ghosn
12,Prince Harry
12,Edward Philippe
11,António Guterres
11,Maarten Griffiths
9,Michael Biehn
9,Vladimir Putin
9,Kevin Hart
9,Didier Guillaume
9,Hillary Clinton
9,Andre Schnidrig
8,Rinaldo Arnold
