mentions_count,name
68,Donald Trump
62,Bill Cosby
58,Andrea Constand
44,Selfie A Christian
40,Vladimir Putin
37,Winnie Mandela
36,António Guterres
35,Nelson Mandela
31,Viktor Orbán
28,Luc Mlenchon
28,April Duma
22,Theresa May
21,Jim Georgiou
21,Miloš Forman
18,Alfred Latour
18,Tom Mesereau
18,Anatoli Antonov
18,Michael Cohen
17,Goff Jean-Pierre
17,Tina Huber
16,Pascal Broulis
16,Bachar Al Assad
15,Farid Bong
14,Justin Trudeau
14,Muhammadu Buhari
13,Nikki Haley
13,Cyril Ramaphosa
13,Janis Joplin
13,Maria Zakharova
13,Cosby Andrea Constand
