mentions_count,name
64,Yannick Buttet
64,Donald Trump
59,Trumpmania Davos
51,Carles Puigdemont
45,Migros Geneva
45,Le Matin
26,Rudolf Diesel
20,Migros Vaud
17,Suquet Laguiole
17,Vladimir Putin
16,Andrew Mccabe
15,Leo Varadkar
15,Zurich Kantonalbank
14,Nicolas Maduro
14,Mariano Rajoy
14,Bachar Al Assad
13,Angela Merkel
12,Ricardo Barros
12,Peter Andermatt
12,Hillary Clinton
12,Hans Ihrman
12,Justin Trudeau
11,Markus Schwab
11,Aung San
11,Suu Kyi
11,Stadholderless Christopher Lark
10,Juan Barros
10,Nicole Finn
10,Siti Aisyah
10,Maarten Wagner
