mentions_count,name
106,Donald Trump
79,Bill Cosby
69,Lionel Girardin
49,François Hollande
42,Michel Fourniret
33,Le Matin
30,Thomas Fabius
30,Yvan Perrin
26,Stormy Daniels
25,Liu Xiang
25,Sophie Lionnet
24,Kim Jong
24,Square Franois Holland
24,Holland Sarkozy
22,Fabian Gasser
21,Sabrina Kouider
19,Wang Yi
18,Rudy Giuliani
17,Liu Xiaobo
17,Chantal Francisco Jose
15,Socialiste Vaud
14,Cambridge Analytica
13,Freiburg Freiburg
12,Michel Rousseau
12,Farida Hammiche
12,Erich Hess
11,Michael Cohen
11,Laurence Sprunger
11,Nicolas Maduro
