mentions_count,name
88,Jamal Khashoggi
87,Donald Trump
68,Nicolas Sarkozy
53,Jair Bolsonaro
40,Barack Obama
39,Camille Pascal
33,Yamal Khashoggi
32,Íngrid Betancourt
32,Hillary Clinton
27,Guillaume Barazzone
20,Le Matin
18,Ulrike Schmidt
16,Hamdi Zagar
16,Oleg Senzow
15,Rudolf Diesel
15,Doris Leuthard
15,George Soros
15,Viola Amherd
14,Nicolas Maduro
14,Mario Draghi
14,Jeff Zucker
12,Pascal Grieder
12,Diego Aponte
12,Fernando Haddad
12,Mark Walder
11,Louis Philippe
11,Jens Stoltenberg
11,Nasser Zefzafi
11,Hambach Forst
