mentions_count,name
72,Carlos Ghosn
29,Donald Trump
27,George Soros
22,John Roberts
21,Vincent Lambert
20,Jamal Khashoggi
18,Elliot Schrage
17,Theresa May
15,Jim Mattis
14,Canton Vaud
14,Arabia Mohammed
12,Alain Berset
12,Le Matin
12,Bundesrat Mason
12,Lee Jaerock
12,Yamal Khashoggi
10,Mark Zuckerberg
10,Jacline Mouraud
10,Square John Dory
10,A Square John Dory
10,Lionel Girardin
9,Roberto Cirillo
9,Justice John Roberts
9,Lorenzo Fontana
9,Facebook Elliot Schrage
8,Thierry Bollore
8,Elina Leimgruber
8,Carlo Sommaruga
8,Donald Trump
8,Michael Lauber
